generation,peso food,peso poison,raio food,raio poison,average life time,average fitness
33,2.5804987729644697,-1.6854857180380984,63.99307480686029,44.830217276897976,1085.69,36.15
34,2.581206867757272,-1.6824264690554929,64.4722205361175,44.16602318328139,1094.77,35.87
35,2.5862194636204787,-1.6849038735430717,64.76728815669658,43.684998948385264,1060.48,33.26
36,2.5914112793234683,-1.6888575795374714,64.51061940584783,43.400367020902,1049.0,35.28
37,2.5919215183571884,-1.7115346185669957,64.0193546448064,43.71609050690476,1098.22,37.01
38,2.5965734168642904,-1.7066621424273154,64.20996279902947,42.75904253636502,1074.28,37.62
39,2.589342257423172,-1.7090800755990665,63.46135882865145,43.86281186892095,1055.94,35.15
40,2.5852165585933857,-1.7086157666079629,65.66694894115658,43.46605919906735,1075.43,35.62
41,2.585753203005745,-1.7055924644038487,65.87514149066618,43.734075735377054,1062.99,33.81
42,2.5799869934256554,-1.7078918980716031,65.8376014738988,44.64878786601882,1070.65,34.94
43,2.582267745016017,-1.7089619256906843,65.88595484416629,45.27584550754782,1045.68,33.56
44,2.579739404155046,-1.7171846981373853,65.06528858607068,44.605037825961276,1079.1683168316831,34.32673267326733
45,2.58858500577644,-1.715193665422238,65.97768240413556,44.66387485437613,1082.22,32.73
46,2.5968383472002383,-1.7148238704962342,66.01888339877227,44.55795452385425,1085.74,32.85
47,2.596306087146657,-1.7128492689210293,65.16085526517602,44.73973051828704,1073.35,38.76
48,2.5887133313486057,-1.7070855748159928,65.40681819768602,44.805014755193724,1070.78,35.87
49,2.6072440684571974,-1.7079059034711839,65.60296296619434,44.94725321970819,1097.06,32.76
50,2.605875794111372,-1.6986313359812357,66.0550991392885,45.313320671939316,1067.45,35.69
51,2.6011843080081904,-1.7037375382254265,66.44681058868827,46.32216362112487,1085.235294117647,33.31372549019608
52,2.6016927599909327,-1.704757240814333,66.20166748199718,45.31024857572245,1065.36,34.87
53,2.613279917691074,-1.7043086152651554,66.25442059120921,45.48142559316878,1072.83,31.94
54,2.609092488592895,-1.7056364463722136,66.4467718071837,45.290057450711686,1088.2,37.09
55,2.6134336421462963,-1.7074782804740534,66.56172378493737,45.42941270524086,1054.71,33.34
56,2.6036722771718375,-1.7145234848088302,66.82869776500513,45.07300247706768,1057.7,30.72
57,2.6041951806885577,-1.7131581265377975,66.41575415412908,45.351158242859285,1054.57,33.22
58,2.6046547435020533,-1.7143988049827774,66.63970242257842,45.25927852664579,1065.56,32.03
59,2.624652584058692,-1.7142737944874427,66.68370109889173,45.59964485280817,1064.11,33.38
