generation,average life time,peso food,peso poison,raio food,raio poison
329,605.0632819910566,0,0,0,0
330,605.1846541862456,0,0,0,0
331,605.2165339003354,0,0,0,0
332,605.2857612136415,0,0,0,0
333,605.3612740864282,0,0,0,0
334,605.391478681854,0,0,0,0
335,605.4701537823956,0,0,0,0
336,605.5366105698258,0,0,0,0
337,605.6039063304926,0,0,0,0
338,605.67399691924,0,0,0,0
339,605.7559256605595,0,0,0,0
340,605.83458471228,0,0,0,0
341,605.8569725344229,0,0,0,0
342,605.8521306529748,0,0,0,0
343,605.916514796494,0,0,0,0
344,605.9388261427727,0,0,0,0
345,605.9927217283738,0,0,0,0
346,606.0030684522956,0,0,0,0
347,606.0562572413497,0,0,0,0
348,606.1330851625233,0,0,0,0
349,606.1805182054894,0,0,0,0
350,606.2295733091239,0,0,0,0
351,606.2953169213356,0,0,0,0
352,606.3325430760764,0,0,0,0
353,606.3275840238601,0,0,0,0
354,606.3450289114692,0,0,0,0
355,606.3515882015315,0,0,0,0
356,606.4237368590057,0,0,0,0
357,606.4303818622399,0,0,0,0
358,606.4406920876496,0,0,0,0
359,606.5557786856866,0,0,0,0
360,606.5920011052013,0,0,0,0
361,606.678106916506,0,0,0,0
362,606.7065226354416,0,0,0,0
363,606.7430091018753,0,0,0,0
364,606.7393611202275,0,0,0,0
365,606.7603022821208,0,0,0,0
366,606.7846451121271,0,0,0,0
367,606.8010097445781,0,0,0,0
368,606.8364258935943,0,0,0,0
369,606.9005829802164,0,0,0,0
370,606.9437975365148,0,0,0,0
371,606.9519442504968,0,0,0,0
372,606.9586056353118,0,0,0,0
373,607.0367772790424,0,0,0,0
374,607.0733114771576,0,0,0,0
375,607.1000545075048,0,0,0,0
376,607.1184451340813,0,0,0,0
377,607.1621947024424,0,0,0,0
378,607.192038119877,0,0,0,0
379,607.2331188229566,0,0,0,0
380,607.2471283229406,0,0,0,0
381,607.2846835757964,0,0,0,0
382,607.2685918031502,0,0,0,0
383,607.3025143303804,0,0,0,0
384,607.3279564301869,0,0,0,0
385,607.3524170222701,0,0,0,0
386,607.3411784494359,0,0,0,0
387,607.4178676954441,0,0,0,0
388,607.4440484308856,0,0,0,0
389,607.4242770411635,0,0,0,0
390,607.410957851462,0,0,0,0
391,607.4096571815545,0,0,0,0
392,607.4533532155693,0,0,0,0
393,607.5095128553817,0,0,0,0
394,607.5394905346976,0,0,0,0
395,607.5437549017128,0,0,0,0
396,607.5753374542702,0,0,0,0
397,607.679353775306,0,0,0,0
398,607.6754120585983,0,0,0,0
399,607.7346900438322,0,0,0,0
400,607.7222423553228,0,0,0,0
401,607.7899547364615,0,0,0,0
402,607.7628681273562,0,0,0,0
403,607.7941577941577,0,0,0,0
404,607.8860226766351,0,0,0,0
